Merchant_id,Transaction date,Average Amount/transaction/day,Transaction_amount,Is declined,Total Number of declines/day,isForeignTransaction,isHighRiskCountry,Daily_chargeback_avg_amt,6_month_avg_chbk_amt,6-month_chbk_freq,isFradulent
3160040998,1/16/2019,100,3000,N,5,Y,Y,0,0,0,Y
3160040998,1/11/2019,100,4300,N,5,Y,Y,0,0,0,Y
3160041896,10/5/2019,185.5,4823,Y,5,N,N,0,0,0,Y
3160141996,2/8/2019,185.5,5008.5,Y,8,N,N,0,0,0,Y
3160241992,2/18/2019,500,26000,N,0,Y,Y,800,677.2,6,Y
3160241992,7/9/2019,500,27000,N,0,Y,Y,800,677.2,6,Y
3160272997,7/18/2019,262.5,11287.5,N,0,N,N,900,345.5,7,Y
3162041996,9/5/2019,185.5,11130,Y,20,N,N,0,0,0,Y
3162041996,3/25/2019,185.5,6121.5,Y,20,N,N,0,0,0,Y
3162041996,5/13/2019,185.5,7049,Y,20,N,N,0,0,0,Y
3356298138,10/17/2019,166.788473,4836.865717,N,0,N,N,721,229,9,Y
3359162473,9/8/2019,444.9970144,21804.85371,N,0,Y,Y,0,0,0,Y
3359690891,1/14/2019,152.451565,4116.192255,N,0,Y,Y,865,375,8,Y
3364840542,10/12/2019,36.91948763,2141.330283,N,5,Y,Y,0,0,0,Y
3365355395,3/28/2019,806.1795426,23379.20674,N,0,N,N,816,811,5,Y
3369900897,9/5/2019,257.0911668,10283.64667,N,4,Y,N,0,0,0,Y
3376306597,6/14/2019,601.4529708,24659.5718,N,7,N,N,0,0,0,Y
3386662126,4/28/2019,222.5298151,12461.66965,N,9,Y,N,0,0,0,Y
3388251889,2/28/2019,231.0673178,12708.70248,N,0,N,N,986,650,8,Y
3394638119,6/25/2019,675.5694754,39858.59905,N,9,Y,N,0,0,0,Y
3402333645,9/18/2019,242.1517429,10654.67669,N,0,Y,Y,0,0,0,Y
3405816400,7/24/2019,804.7617661,42652.3736,N,0,N,N,953,950,8,Y
3408183027,5/15/2019,432.0302518,22033.54284,N,8,Y,Y,0,0,0,Y
3413226850,2/21/2019,356.8122632,16056.55184,N,9,Y,Y,0,0,0,Y
3418090677,2/25/2019,456.2831178,15057.34289,N,0,Y,Y,0,0,0,Y
3450127241,4/1/2019,780.688498,36692.35941,N,0,Y,N,896,839,6,Y
3462219091,4/3/2019,947.4890276,44531.9843,N,7,Y,N,0,0,0,Y
3465787492,7/15/2019,172.5157672,5002.957249,N,9,Y,Y,0,0,0,Y
3483626412,10/20/2019,111.3750711,5680.128626,N,2,Y,N,0,0,0,Y
3498029973,10/8/2019,679.9403346,38076.65874,N,0,Y,Y,0,0,0,Y
3505845546,6/2/2019,476.8645865,26704.41684,N,3,Y,N,0,0,0,Y
3506126990,9/28/2019,563.054548,23085.23647,N,2,Y,N,0,0,0,Y
3508979345,4/3/2019,205.8614188,11528.23945,N,0,Y,N,0,0,0,Y
3527533497,9/21/2019,998.3440744,26955.29001,N,0,Y,Y,701,585,8,Y
3541182255,7/19/2019,724.0674699,43444.04819,N,0,N,N,877,814,7,Y
3557460410,8/11/2019,85.54822336,3165.284264,N,0,N,N,454,230,7,Y
3564918618,5/30/2019,253.6174611,9891.080983,N,2,Y,Y,0,0,0,Y
3604409798,1/31/2019,18.66793542,784.0532876,N,0,Y,N,973,469,8,Y
3641844855,10/7/2019,345.2290256,13118.70297,N,0,Y,N,970,758,3,Y
3642050373,8/22/2019,66.77655374,2804.615257,N,5,N,N,993,954,2,Y
3651341559,10/18/2019,434.5973006,13472.51632,N,7,Y,Y,0,0,0,Y
3657008341,1/30/2019,53.18771869,2553.010497,N,6,Y,N,0,0,0,Y
3659140079,5/5/2019,680.8050065,33359.44532,N,8,Y,N,0,0,0,Y
3675535563,7/13/2019,480.7217025,17305.98129,N,7,Y,Y,0,0,0,Y
3687691773,1/15/2019,644.2848716,19972.83102,N,0,N,N,967,226,9,Y
3706361915,10/1/2019,723.1415323,22417.3875,N,5,Y,N,0,0,0,Y
3714090682,3/9/2019,879.4463782,40454.5334,N,8,Y,N,0,0,0,Y
3714419514,2/2/2019,519.6687893,22345.75794,N,4,Y,N,0,0,0,Y
3729024090,3/13/2019,360.1675018,20169.3801,N,0,N,N,923,542,7,Y
3742656867,6/28/2019,199.1953372,11752.52489,N,7,Y,N,0,0,0,Y
3752015916,6/18/2019,741.7709921,37830.3206,N,0,N,N,589,499,8,Y
3760238152,1/28/2019,293.785663,14395.49749,N,0,Y,N,0,0,0,Y
3764558156,2/6/2019,464.2802182,21356.89004,N,5,Y,N,0,0,0,Y
3774659995,5/11/2019,48.43831932,2664.107563,N,8,Y,N,0,0,0,Y
3776798621,7/1/2019,885.2821332,53116.92799,N,9,Y,N,888,739,8,Y
3785665909,9/13/2019,532.2414183,15435.00113,N,6,Y,Y,0,0,0,Y
3785986636,5/24/2019,578.1520606,32376.51539,N,7,N,N,0,0,0,Y
3799132406,8/21/2019,780.3223403,39016.11702,N,5,Y,Y,0,0,0,Y
3800617237,9/24/2019,282.8443803,15556.44092,N,7,N,N,0,0,0,Y
3806421625,8/9/2019,464.1466817,15780.98718,N,0,Y,N,0,0,0,Y
3808398633,1/15/2019,411.7532238,22234.67409,N,0,N,N,618,497,7,Y
3811662493,2/25/2019,866.4786465,46789.84691,N,7,N,N,0,0,0,Y
3816482428,1/2/2019,616.445728,15411.1432,N,4,Y,Y,381,284,5,Y
3835542787,1/8/2019,837.189105,43533.83346,N,0,Y,Y,0,0,0,Y
3837335703,7/19/2019,276.825748,8581.598188,N,0,Y,N,0,0,0,Y
3840707845,6/18/2019,10.66365782,458.5372863,N,8,Y,Y,0,0,0,Y
3852916753,5/22/2019,327.2204773,16688.24434,N,9,N,N,0,0,0,Y
3856955720,8/5/2019,810.4856122,20262.14031,N,5,Y,Y,0,0,0,Y
3858398119,6/3/2019,474.0885428,16593.099,N,2,Y,Y,0,0,0,Y
3859811531,4/15/2019,444.9309256,21801.61535,N,0,Y,N,0,0,0,Y
3875188381,3/22/2019,933.1631705,28928.05829,N,5,Y,N,0,0,0,Y
3884139657,8/29/2019,808.2022141,46067.5262,N,0,Y,Y,0,0,0,Y
3884787232,9/22/2019,968.6067798,52304.76611,N,4,Y,N,0,0,0,Y
3905893865,4/24/2019,208.0480827,7489.730977,N,9,Y,Y,0,0,0,Y
3938462850,1/10/2019,499.6241664,18985.71832,N,0,Y,Y,0,0,0,Y
3950041893,10/18/2019,570.627572,26819.49588,N,9,N,N,0,0,0,Y
3958135740,1/29/2019,681.5690311,31352.17543,N,0,Y,Y,0,0,0,Y
3964604570,2/9/2019,248.4369944,7204.672838,N,5,Y,Y,0,0,0,Y
3995706579,2/11/2019,539.2368026,25883.36652,N,0,Y,N,964,890,6,Y
4018645384,1/17/2019,580.9745696,28467.75391,N,5,Y,Y,0,0,0,Y
4022945723,7/3/2019,336.182123,17817.65252,N,0,Y,Y,0,0,0,Y
4024505715,10/13/2019,656.2025117,37403.54317,N,5,Y,Y,0,0,0,Y
4036426557,5/18/2019,393.7053746,11811.16124,N,3,Y,Y,0,0,0,Y
4058823520,9/16/2019,603.3792276,30772.34061,N,0,Y,N,0,0,0,Y
4061849015,4/17/2019,308.0830989,17868.81974,N,7,N,N,0,0,0,Y
4063172111,2/13/2019,886.8957371,44344.78686,N,9,Y,Y,0,0,0,Y
4072532307,7/16/2019,335.8370761,13097.64597,N,0,Y,Y,0,0,0,Y
4084592872,5/8/2019,610.5646704,29307.10418,N,9,Y,N,995,846,4,Y
4105344658,10/4/2019,52.50319147,1365.082978,N,8,Y,Y,0,0,0,Y
4114574519,9/20/2019,572.3188104,25754.34647,N,0,Y,N,0,0,0,Y
4117880439,8/20/2019,769.7753903,44646.97264,N,8,N,N,959,386,3,Y
4127150902,1/8/2019,570.5826102,18829.22614,N,8,N,N,0,0,0,Y
4128978968,6/13/2019,80.53627851,2335.552077,N,0,Y,Y,593,413,8,Y
4130501464,8/18/2019,483.9256352,26131.9843,N,7,Y,Y,0,0,0,Y
4135098150,2/7/2019,268.5412251,8593.319203,N,6,N,N,931,889,3,Y
4138506573,6/1/2019,787.7379607,32297.25639,N,3,Y,Y,0,0,0,Y
4139060865,6/3/2019,263.4127903,9746.273241,N,0,Y,N,739,182,8,Y
4139280493,4/3/2019,921.0639299,46974.26042,N,8,Y,Y,0,0,0,Y
4151187710,2/23/2019,733.4911774,35941.06769,N,0,Y,Y,0,0,0,Y
4154299431,4/20/2019,510.4185708,22968.83569,N,0,Y,Y,0,0,0,Y
4155574823,4/6/2019,9.134958761,429.3430618,N,8,N,N,0,0,0,Y
4161661486,7/29/2019,29.16618193,904.1516398,N,7,Y,Y,0,0,0,Y
4163803727,1/11/2019,971.9442274,24298.60569,N,3,Y,Y,0,0,0,Y
4172276215,3/9/2019,616.3847055,19724.31058,N,7,Y,Y,0,0,0,Y
4173436510,8/23/2019,418.34977,21754.18804,N,0,Y,Y,0,0,0,Y
4177712289,5/16/2019,912.5499676,37414.54867,N,2,Y,Y,0,0,0,Y
4180015902,3/14/2019,110.5364153,3868.774536,N,0,Y,Y,0,0,0,Y
4192972254,4/29/2019,70.55375568,2187.166426,N,7,N,N,0,0,0,Y
4202639184,8/1/2019,730.7886618,41654.95372,N,8,N,N,931,415,9,Y
4205436781,4/14/2019,581.9333833,33170.20285,N,0,Y,Y,0,0,0,Y
4209927538,3/28/2019,502.4951099,24119.76528,N,0,Y,N,0,0,0,Y
4223065137,2/7/2019,317.7292099,14297.81445,N,7,N,N,0,0,0,Y
4224420959,3/26/2019,428.1894204,25263.1758,N,7,N,N,0,0,0,Y
4225126900,1/1/2019,86.35227213,2935.977252,N,0,N,N,993,992,7,Y
4225921989,9/12/2019,58.50421659,1521.109631,N,5,Y,Y,0,0,0,Y
4232210297,4/6/2019,67.75952614,3455.735833,N,7,Y,N,0,0,0,Y
4240669276,7/19/2019,429.8207641,18912.11362,N,0,Y,N,0,0,0,Y
4244630120,1/3/2019,979.4752417,46035.33636,N,0,N,N,475,244,4,Y
4266029386,4/20/2019,924.9840806,39774.31547,N,7,N,N,0,0,0,Y
4294222139,5/1/2019,705.352783,27508.75854,N,9,Y,N,0,0,0,Y
4304266734,5/22/2019,664.4396973,31228.66577,N,0,Y,N,0,0,0,Y
4305702710,7/9/2019,444.8008156,16457.63018,N,0,Y,Y,0,0,0,Y
4312225167,5/13/2019,224.4733968,6060.781714,N,0,Y,N,0,0,0,Y
4314204125,1/3/2019,658.1175211,39487.05127,N,8,Y,Y,0,0,0,Y
4327113971,8/22/2019,926.0312574,41671.40658,N,5,Y,Y,0,0,0,Y
4345258543,5/18/2019,398.5830073,11160.3242,N,7,N,N,982,350,1,Y
4348694075,4/13/2019,270.2719797,16216.31878,N,0,N,N,991,914,7,Y
4349047749,4/3/2019,281.6009344,14924.84952,N,0,Y,Y,0,0,0,Y
