id,product_uid,text1,text2,relevance
2,100001,Simpson Strong-Tie 12-Gauge Angle,angle bracket,0
3,100001,Simpson Strong-Tie 12-Gauge Angle,l bracket,0
9,100002,BEHR Premium Textured DeckOver 1-gal. #SC-141 Tugboat Wood and Concrete Coating,deck over,0
16,100005,Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included),rain shower head,0
17,100005,Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included),shower only faucet,0
18,100006,Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,convection otr,0
20,100006,Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,microwave over stove,0
21,100006,Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking,microwaves,0
23,100007,Lithonia Lighting Quantum 2-Light Black LED Emergency Fixture Unit,emergency light,0
27,100009,House of Fara 3/4 in. x 3 in. x 8 ft. MDF Fluted Casing,mdf 3/4,0
34,100010,Valley View Industries Metal Stakes (4-Pack),steele stake,0
35,100011,Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,briggs and stratton lawn mower,0
37,100011,Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,gas mowe,0
38,100011,Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine,honda mower,0
48,100012,Hampton Bay Caramel Simple Weave Bamboo Rollup Shade - 96 in. W x 72 in. L,hampton bay chestnut pull up shade,0
51,100013,InSinkErator SinkTop Switch Single Outlet for InSinkErator Disposers,disposer,0
65,100016,Sunjoy Calais 8 ft. x 5 ft. x 8 ft. Steel Tile Fabric Grill Gazebo,grill gazebo,0
69,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",door guards,0
75,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",metal plate cover gcfi,0
81,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",radiator grate,0
85,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver",windows screens,0
88,100019,House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,1x1 rail decorative wood,0
90,100019,House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,4*8 beadboard paneling,0
92,100019,House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,4x8wood paneling,0
101,100019,House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,MDF 4x8,0
105,100019,House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,wainscot chair rail,0
106,100019,House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit,wainscot plank paneling,0
113,100021,1804 Dual Spray Half Pattern 4 in Pop-Up Spray Head,lawn sprkinler,0
114,100021,1804 Dual Spray Half Pattern 4 in Pop-Up Spray Head,rainbird sprinkler,0
117,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR",PLATFORM FOR WASHERS,0
120,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR",samsung front load washer 3.7,0
122,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR",upholstery washing machines with steam,0
123,100023,Quikrete 80 lb. Crack-Resistant Concrete,CONCRETE & MASONRY CLEANER & ETCHER,0
125,100023,Quikrete 80 lb. Crack-Resistant Concrete,concrete for ponds,0
127,100023,Quikrete 80 lb. Crack-Resistant Concrete,flexlock for cracks,0
136,100026,Nantucket Pavers Patio-on-a-Pallet 10 ft. x 10 ft. Concrete Tan Variegated Basketweave Yorkstone Paver,Belgium block pavers,0
